parcel_address,stop_name,distance
9421 MEADOWBROOK AVE,Bethlehem Pk & Montgomery Av,0.00
9701 GERMANTOWN AVE,Germantown Pk & Northwestern Av,0.00
9001 LYKENS LN,Plymouth Meeting Mall,0.06
9701 GERMANTOWN AVE,Germantown Pk & Northwestern Av - FS,0.00
8612-14 GERMANTOWN AVE,Germantown Av & Bethlehem Pk - FS,0.00
633 E MOUNT AIRY AVE,Stenton Av & Mt Airy Av,0.00
6334 STENTON AVE,Stenton Av & Washington Ln,0.00
1240-42 E CHELTEN AVE,Wister St & Chelten Av - FS,0.00
501 W ROOSEVELT BLVD,Roosevelt Blvd & 5th St - FS,0.00
3201-45 MIDVALE AVE,Midvale Av & Henry Av,0.00
2901 W ALLEGHENY AVE,29th St & Allegheny Av,0.00
3300-04 MIDVALE AVE,Midvale Av & Henry Av ,0.00
2500-32 W HUNTING PARK AVE,Hunting Park Av & Fox St - FS,0.00
2901 W ALLEGHENY AVE,Allegheny Av & Hunting Park Av,0.00
4834-44 LANCASTER AVE,Lancaster Av & Girard Av,0.00
20-24 N 40TH ST,40th St & Filbert St,0.00
1400 JOHN F KENNEDY BLVD,13th St,0.00
3417 LUDLOW ST,36th St Trolley Portal Station,0.00
4708-26 W GIRARD AVE,Lancaster Av & 48th St,0.00
6210 MALVERN AVE,Malvern Av & 63rd St Loop,0.00
4900 WOODLAND AVE,49th-Woodland,0.00
4002-04 MARKET ST,Market St & 40th St,0.00
3901-55 MARKET ST,Market St & 40th St,0.00
3940 BALTIMORE AVE,40th St Trolley Portal,0.00
4839 WOODLAND AVE,49th-Woodland,0.00
6155 WOODLAND AVE,Woodland Av & 62nd St,0.00
7290-98 WOODLAND AVE,Woodland Av & Island Av,0.00
2071 COBBS CREEK PKWY,Darby Transportation Center - trolley,0.02
240 S 20TH ST,Locust St & 20th St,0.00
240 S BROAD ST,Locust St & Broad St ,0.00
400-36 S 3RD ST,Pine St & 3rd St,0.00
2301 SPRUCE ST,23rd St & Spruce St,0.00
4901 WOODLAND AVE,Woodland Av & 50th St,0.00
6300 KINGSESSING AVE,Mt. Moriah,0.00
5800 CHESTER AVE,Chester Av & 58th St ,0.00
1100 S 49TH ST,Chester Av & 49th St,0.00
4817-23 CHESTER AVE,Chester Av & 49th St,0.00
5739 CHESTER AVE,Chester Av & 58th St,0.00
6299 KINGSESSING AVE,Mt. Moriah,0.00
1920 S 70TH ST,Yeadon,0.01
5700 FRANKFORD AVE,Bustleton Av & Comly St - FS,0.00
11771 E ROOSEVELT BLVD,Roosevelt Blvd & Byberry Rd - FS,0.00
15150 E ROOSEVELT BLVD,Old Lincoln Hwy & Roosevelt Blvd,0.00
14700 TOWNSEND RD,Neshaminy Mall,0.02
14700 TOWNSEND RD,Pine St & Richardson Av,0.08
14700 TOWNSEND RD,Oxford Valley Mall & J C Penney,0.11
15150 E ROOSEVELT BLVD,Roosevelt Blvd & Old Lincoln Hwy - FS,0.00
6000 BUSTLETON AVE,Bustleton Av & Comly St,0.00
5208 FRANKFORD AVE,Frankford Transportation Center - Rts 20 & 50,0.00
5200-10 MARKET ST,52nd St,0.00
3252 RICHMOND ST,Richmond St & Westmoreland St Loop,0.00
37 W GIRARD AVE,Girard Av & Front St,0.00
1201-19 N BROAD ST,Girard Av & Broad St,0.00
4000-18 PARKSIDE AVE,Girard Av & 40th St - FS,0.00
5801 W GIRARD AVE,Girard Av & 59th St,0.00
4055 MARKET ST,Market St & 41st St,0.00
5900 W GIRARD AVE,Girard Av & 59th St,0.00
4002 W GIRARD AVE,Girard Av & 40th St,0.00
4078 POWELTON AVE,41st St & Powelton Av,0.00
922-38 N BROAD ST,Girard Av & Broad St,0.00
1155-57 N FRONT ST,Girard Station - MFL,0.00
3601 S BROAD ST,Broad St & Pattison Av - 2 NS,0.00
1924-36 WASHINGTON AVE,20th St & Washington Av,0.00
1906-12 WALNUT ST,20th St & Walnut St,0.00
501-35 MARKET ST,Market St & 6th St,0.00
1901 WASHINGTON AVE,19th St & Washington Av,0.00
3601 S BROAD ST,Pattison Av & Broad St - FS ,0.00
439 N 41ST ST,41st St & Spring Garden Av,0.00
3454-58 W CHELTENHAM AVE,Willow Grove Av & Cheltenham Av,0.01
3232 W CHELTENHAM AVE,Cheltenham Av & Gowen Av,0.00
8346 MICHENER AVE,Michener Av & Wadsworth Av - FS,0.00
7701 MANSFIELD AVE,Upsal St & Mansfield Av,0.00
739-43 E CHELTEN AVE,Chew Av & Chelten Av,0.00
5400 N BROAD ST,Olney Av & Broad St,0.00
5589-95 OLD YORK RD,Olney Av & Broad St - FS,0.00
6725 RISING SUN AVE,Rising Sun Av & Knorr St,0.00
6800-58 RISING SUN AVE,Rising Sun Av & Knorr St,0.00
351 E OLNEY AVE,Rising Sun Av & Olney Av,0.00
5601 N 13TH ST,Olney Av & 13th St,0.00
920 E UPSAL ST,Upsal St & Mansfield St,0.00
1500-08 WADSWORTH AVE,Michener Av & Wadsworth Av ,0.00
3200-10 W CHELTENHAM AVE,Easton Rd & Cheltenham Av - FS,0.00
5208 FRANKFORD AVE,Frankford Transportation Center - Rt 88,0.00
6001 OXFORD AVE,Oxford Av & Summerdale Av - FS,0.00
1600 RHAWN ST,Algon Av & Rhawn St,0.00
9307 KREWSTOWN RD,Krewstown Rd & Gregg St ,0.00
1630-90 WELSH RD,Welsh Rd & Neil Dr - FS,0.00
2500 GRANT AVE,Grant Av & Blue Grass Rd - 2,0.00
9100 ASHTON RD,Ashton Rd & Willits Rd,0.00
9101 ASHTON RD,Willits Rd & Ashton Rd,0.00
2501 GRANT AVE,Grant Av & Blue Grass Rd - 1,0.00
1651 GRANT AVE,Grant Av & Welsh Rd ,0.00
9400 KREWSTOWN RD,Krewstown Rd & Gregg St,0.00
8000 ALGON AVE,Algon Av & Rhawn St,0.00
