geoid,geoname,total
421010376001019,"Block 1019, Block Group 1, Census Tract 376, Philadelphia County, Pennsylvania",0
421010376003009,"Block 3009, Block Group 3, Census Tract 376, Philadelphia County, Pennsylvania",0
421010083024006,"Block 4006, Block Group 4, Census Tract 83.02, Philadelphia County, Pennsylvania",139
421010085003004,"Block 3004, Block Group 3, Census Tract 85, Philadelphia County, Pennsylvania",75
421010025003000,"Block 3000, Block Group 3, Census Tract 25, Philadelphia County, Pennsylvania",114
421010145001006,"Block 1006, Block Group 1, Census Tract 145, Philadelphia County, Pennsylvania",574
421010147001001,"Block 1001, Block Group 1, Census Tract 147, Philadelphia County, Pennsylvania",162
421010149001000,"Block 1000, Block Group 1, Census Tract 149, Philadelphia County, Pennsylvania",19
421010191004017,"Block 4017, Block Group 4, Census Tract 191, Philadelphia County, Pennsylvania",45
421010192003013,"Block 3013, Block Group 3, Census Tract 192, Philadelphia County, Pennsylvania",65
421010275002003,"Block 2003, Block Group 2, Census Tract 275, Philadelphia County, Pennsylvania",176
421010276004004,"Block 4004, Block Group 4, Census Tract 276, Philadelphia County, Pennsylvania",106
421010318004000,"Block 4000, Block Group 4, Census Tract 318, Philadelphia County, Pennsylvania",0
421010319004002,"Block 4002, Block Group 4, Census Tract 319, Philadelphia County, Pennsylvania",105
421010320003010,"Block 3010, Block Group 3, Census Tract 320, Philadelphia County, Pennsylvania",45
421010321001016,"Block 1016, Block Group 1, Census Tract 321, Philadelphia County, Pennsylvania",0
421010029001002,"Block 1002, Block Group 1, Census Tract 29, Philadelphia County, Pennsylvania",88
421010027022016,"Block 2016, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",107
421010085007000,"Block 7000, Block Group 7, Census Tract 85, Philadelphia County, Pennsylvania",16
421010198001003,"Block 1003, Block Group 1, Census Tract 198, Philadelphia County, Pennsylvania",13
421010199001006,"Block 1006, Block Group 1, Census Tract 199, Philadelphia County, Pennsylvania",123
421010278001012,"Block 1012, Block Group 1, Census Tract 278, Philadelphia County, Pennsylvania",159
421010325001013,"Block 1013, Block Group 1, Census Tract 325, Philadelphia County, Pennsylvania",73
421010377003000,"Block 3000, Block Group 3, Census Tract 377, Philadelphia County, Pennsylvania",28
421010378005000,"Block 5000, Block Group 5, Census Tract 378, Philadelphia County, Pennsylvania",0
421010378008006,"Block 8006, Block Group 8, Census Tract 378, Philadelphia County, Pennsylvania",0
421010325003015,"Block 3015, Block Group 3, Census Tract 325, Philadelphia County, Pennsylvania",89
421010326002014,"Block 2014, Block Group 2, Census Tract 326, Philadelphia County, Pennsylvania",113
421010329002002,"Block 2002, Block Group 2, Census Tract 329, Philadelphia County, Pennsylvania",217
421010330003007,"Block 3007, Block Group 3, Census Tract 330, Philadelphia County, Pennsylvania",141
421010336002008,"Block 2008, Block Group 2, Census Tract 336, Philadelphia County, Pennsylvania",256
421010088023006,"Block 3006, Block Group 3, Census Tract 88.02, Philadelphia County, Pennsylvania",0
421010152001029,"Block 1029, Block Group 1, Census Tract 152, Philadelphia County, Pennsylvania",44
421010153001005,"Block 1005, Block Group 1, Census Tract 153, Philadelphia County, Pennsylvania",1541
421010156001008,"Block 1008, Block Group 1, Census Tract 156, Philadelphia County, Pennsylvania",45
421010157001011,"Block 1011, Block Group 1, Census Tract 157, Philadelphia County, Pennsylvania",72
421010200001002,"Block 1002, Block Group 1, Census Tract 200, Philadelphia County, Pennsylvania",138
421010281001011,"Block 1011, Block Group 1, Census Tract 281, Philadelphia County, Pennsylvania",159
421010282001017,"Block 1017, Block Group 1, Census Tract 282, Philadelphia County, Pennsylvania",33
421010283001001,"Block 1001, Block Group 1, Census Tract 283, Philadelphia County, Pennsylvania",150
421010333001005,"Block 1005, Block Group 1, Census Tract 333, Philadelphia County, Pennsylvania",0
421010333003010,"Block 3010, Block Group 3, Census Tract 333, Philadelphia County, Pennsylvania",64
421010334003003,"Block 3003, Block Group 3, Census Tract 334, Philadelphia County, Pennsylvania",25
421010335002012,"Block 2012, Block Group 2, Census Tract 335, Philadelphia County, Pennsylvania",52
421010032004010,"Block 4010, Block Group 4, Census Tract 32, Philadelphia County, Pennsylvania",56
421010033001001,"Block 1001, Block Group 1, Census Tract 33, Philadelphia County, Pennsylvania",120
421010031003004,"Block 3004, Block Group 3, Census Tract 31, Philadelphia County, Pennsylvania",97
421010091003007,"Block 3007, Block Group 3, Census Tract 91, Philadelphia County, Pennsylvania",204
421010379004009,"Block 4009, Block Group 4, Census Tract 379, Philadelphia County, Pennsylvania",60
421010380001013,"Block 1013, Block Group 1, Census Tract 380, Philadelphia County, Pennsylvania",93
421010093002004,"Block 2004, Block Group 2, Census Tract 93, Philadelphia County, Pennsylvania",188
421010094003003,"Block 3003, Block Group 3, Census Tract 94, Philadelphia County, Pennsylvania",108
421010157003001,"Block 3001, Block Group 3, Census Tract 157, Philadelphia County, Pennsylvania",27
421010158001007,"Block 1007, Block Group 1, Census Tract 158, Philadelphia County, Pennsylvania",48
421010158004004,"Block 4004, Block Group 4, Census Tract 158, Philadelphia County, Pennsylvania",120
421010202003010,"Block 3010, Block Group 3, Census Tract 202, Philadelphia County, Pennsylvania",123
421010203002001,"Block 2001, Block Group 2, Census Tract 203, Philadelphia County, Pennsylvania",14
421010204002015,"Block 2015, Block Group 2, Census Tract 204, Philadelphia County, Pennsylvania",0
421010283007007,"Block 7007, Block Group 7, Census Tract 283, Philadelphia County, Pennsylvania",84
421010284004016,"Block 4016, Block Group 4, Census Tract 284, Philadelphia County, Pennsylvania",0
421010286002009,"Block 2009, Block Group 2, Census Tract 286, Philadelphia County, Pennsylvania",193
421010338002001,"Block 2001, Block Group 2, Census Tract 338, Philadelphia County, Pennsylvania",131
421010036003005,"Block 3005, Block Group 3, Census Tract 36, Philadelphia County, Pennsylvania",100
421010033004041,"Block 4041, Block Group 4, Census Tract 33, Philadelphia County, Pennsylvania",44
421010096003005,"Block 3005, Block Group 3, Census Tract 96, Philadelphia County, Pennsylvania",167
421010100001005,"Block 1005, Block Group 1, Census Tract 100, Philadelphia County, Pennsylvania",144
421010161001035,"Block 1035, Block Group 1, Census Tract 161, Philadelphia County, Pennsylvania",18
421010204004004,"Block 4004, Block Group 4, Census Tract 204, Philadelphia County, Pennsylvania",175
421010205002021,"Block 2021, Block Group 2, Census Tract 205, Philadelphia County, Pennsylvania",119
421010288001000,"Block 1000, Block Group 1, Census Tract 288, Philadelphia County, Pennsylvania",108
421010340002001,"Block 2001, Block Group 2, Census Tract 340, Philadelphia County, Pennsylvania",93
421010341002007,"Block 2007, Block Group 2, Census Tract 341, Philadelphia County, Pennsylvania",65
421010342002004,"Block 2004, Block Group 2, Census Tract 342, Philadelphia County, Pennsylvania",110
421010381001038,"Block 1038, Block Group 1, Census Tract 381, Philadelphia County, Pennsylvania",0
421010381001087,"Block 1087, Block Group 1, Census Tract 381, Philadelphia County, Pennsylvania",0
421010382002014,"Block 2014, Block Group 2, Census Tract 382, Philadelphia County, Pennsylvania",90
421010037023006,"Block 3006, Block Group 3, Census Tract 37.02, Philadelphia County, Pennsylvania",0
421010036004003,"Block 4003, Block Group 4, Census Tract 36, Philadelphia County, Pennsylvania",70
421010101006005,"Block 6005, Block Group 6, Census Tract 101, Philadelphia County, Pennsylvania",141
421010103001006,"Block 1006, Block Group 1, Census Tract 103, Philadelphia County, Pennsylvania",110
421010104003000,"Block 3000, Block Group 3, Census Tract 104, Philadelphia County, Pennsylvania",170
421010162001018,"Block 1018, Block Group 1, Census Tract 162, Philadelphia County, Pennsylvania",0
421010163002005,"Block 2005, Block Group 2, Census Tract 163, Philadelphia County, Pennsylvania",17
421010209003003,"Block 3003, Block Group 3, Census Tract 209, Philadelphia County, Pennsylvania",99
421010210003008,"Block 3008, Block Group 3, Census Tract 210, Philadelphia County, Pennsylvania",177
421010210005003,"Block 5003, Block Group 5, Census Tract 210, Philadelphia County, Pennsylvania",118
421010290003015,"Block 3015, Block Group 3, Census Tract 290, Philadelphia County, Pennsylvania",133
421010292001004,"Block 1004, Block Group 1, Census Tract 292, Philadelphia County, Pennsylvania",0
421010344001014,"Block 1014, Block Group 1, Census Tract 344, Philadelphia County, Pennsylvania",168
421010039014000,"Block 4000, Block Group 4, Census Tract 39.01, Philadelphia County, Pennsylvania",46
421010105001013,"Block 1013, Block Group 1, Census Tract 105, Philadelphia County, Pennsylvania",54
421010105002026,"Block 2026, Block Group 2, Census Tract 105, Philadelphia County, Pennsylvania",315
421010107001016,"Block 1016, Block Group 1, Census Tract 107, Philadelphia County, Pennsylvania",13
421010164004000,"Block 4000, Block Group 4, Census Tract 164, Philadelphia County, Pennsylvania",139
421010165001032,"Block 1032, Block Group 1, Census Tract 165, Philadelphia County, Pennsylvania",0
421010213005006,"Block 5006, Block Group 5, Census Tract 213, Philadelphia County, Pennsylvania",109
421010214004010,"Block 4010, Block Group 4, Census Tract 214, Philadelphia County, Pennsylvania",47
421010292002011,"Block 2011, Block Group 2, Census Tract 292, Philadelphia County, Pennsylvania",26
421010293001009,"Block 1009, Block Group 1, Census Tract 293, Philadelphia County, Pennsylvania",62
421010294002003,"Block 2003, Block Group 2, Census Tract 294, Philadelphia County, Pennsylvania",89
421010001014014,"Block 4014, Block Group 4, Census Tract 1.01, Philadelphia County, Pennsylvania",28
421010040011008,"Block 1008, Block Group 1, Census Tract 40.01, Philadelphia County, Pennsylvania",86
421010108002000,"Block 2000, Block Group 2, Census Tract 108, Philadelphia County, Pennsylvania",43
421010109001007,"Block 1007, Block Group 1, Census Tract 109, Philadelphia County, Pennsylvania",55
421010110003001,"Block 3001, Block Group 3, Census Tract 110, Philadelphia County, Pennsylvania",96
421010217002008,"Block 2008, Block Group 2, Census Tract 217, Philadelphia County, Pennsylvania",86
421010219001008,"Block 1008, Block Group 1, Census Tract 219, Philadelphia County, Pennsylvania",6
421010298003002,"Block 3002, Block Group 3, Census Tract 298, Philadelphia County, Pennsylvania",87
421010299001008,"Block 1008, Block Group 1, Census Tract 299, Philadelphia County, Pennsylvania",160
421010300001006,"Block 1006, Block Group 1, Census Tract 300, Philadelphia County, Pennsylvania",219
421010300003014,"Block 3014, Block Group 3, Census Tract 300, Philadelphia County, Pennsylvania",68
421010349004006,"Block 4006, Block Group 4, Census Tract 349, Philadelphia County, Pennsylvania",41
421010352001017,"Block 1017, Block Group 1, Census Tract 352, Philadelphia County, Pennsylvania",254
421010041013017,"Block 3017, Block Group 3, Census Tract 41.01, Philadelphia County, Pennsylvania",112
421010001025002,"Block 5002, Block Group 5, Census Tract 1.02, Philadelphia County, Pennsylvania",27
421010112001000,"Block 1000, Block Group 1, Census Tract 112, Philadelphia County, Pennsylvania",129
421010113001001,"Block 1001, Block Group 1, Census Tract 113, Philadelphia County, Pennsylvania",0
421010170001008,"Block 1008, Block Group 1, Census Tract 170, Philadelphia County, Pennsylvania",8
421010171001003,"Block 1003, Block Group 1, Census Tract 171, Philadelphia County, Pennsylvania",72
421010235001003,"Block 1003, Block Group 1, Census Tract 235, Philadelphia County, Pennsylvania",173
421010237001001,"Block 1001, Block Group 1, Census Tract 237, Philadelphia County, Pennsylvania",95
421010238002001,"Block 2001, Block Group 2, Census Tract 238, Philadelphia County, Pennsylvania",109
421010300004025,"Block 4025, Block Group 4, Census Tract 300, Philadelphia County, Pennsylvania",27
421010301005013,"Block 5013, Block Group 5, Census Tract 301, Philadelphia County, Pennsylvania",139
421010302003015,"Block 3015, Block Group 3, Census Tract 302, Philadelphia County, Pennsylvania",58
421010355002004,"Block 2004, Block Group 2, Census Tract 355, Philadelphia County, Pennsylvania",51
421010005004012,"Block 4012, Block Group 4, Census Tract 5, Philadelphia County, Pennsylvania",19
421010007011003,"Block 1003, Block Group 1, Census Tract 7.01, Philadelphia County, Pennsylvania",33
421010055001016,"Block 1016, Block Group 1, Census Tract 55, Philadelphia County, Pennsylvania",93
421010004011006,"Block 1006, Block Group 1, Census Tract 4.01, Philadelphia County, Pennsylvania",5
421010114006011,"Block 6011, Block Group 6, Census Tract 114, Philadelphia County, Pennsylvania",117
421010118001005,"Block 1005, Block Group 1, Census Tract 118, Philadelphia County, Pennsylvania",113
421010119001010,"Block 1010, Block Group 1, Census Tract 119, Philadelphia County, Pennsylvania",67
421010171003011,"Block 3011, Block Group 3, Census Tract 171, Philadelphia County, Pennsylvania",121
421010173003004,"Block 3004, Block Group 3, Census Tract 173, Philadelphia County, Pennsylvania",12
421010241001004,"Block 1004, Block Group 1, Census Tract 241, Philadelphia County, Pennsylvania",58
421010243002000,"Block 2000, Block Group 2, Census Tract 243, Philadelphia County, Pennsylvania",53
421010306002005,"Block 2005, Block Group 2, Census Tract 306, Philadelphia County, Pennsylvania",115
421010358003017,"Block 3017, Block Group 3, Census Tract 358, Philadelphia County, Pennsylvania",99
421010060003005,"Block 3005, Block Group 3, Census Tract 60, Philadelphia County, Pennsylvania",138
421010062003005,"Block 3005, Block Group 3, Census Tract 62, Philadelphia County, Pennsylvania",134
421010055003003,"Block 3003, Block Group 3, Census Tract 55, Philadelphia County, Pennsylvania",0
421010060003002,"Block 3002, Block Group 3, Census Tract 60, Philadelphia County, Pennsylvania",127
421010174001002,"Block 1002, Block Group 1, Census Tract 174, Philadelphia County, Pennsylvania",30
421010175001006,"Block 1006, Block Group 1, Census Tract 175, Philadelphia County, Pennsylvania",49
421010175005002,"Block 5002, Block Group 5, Census Tract 175, Philadelphia County, Pennsylvania",182
421010245002009,"Block 2009, Block Group 2, Census Tract 245, Philadelphia County, Pennsylvania",110
421010247001004,"Block 1004, Block Group 1, Census Tract 247, Philadelphia County, Pennsylvania",48
421010248001001,"Block 1001, Block Group 1, Census Tract 248, Philadelphia County, Pennsylvania",150
421010308001004,"Block 1004, Block Group 1, Census Tract 308, Philadelphia County, Pennsylvania",116
421010309001010,"Block 1010, Block Group 1, Census Tract 309, Philadelphia County, Pennsylvania",261
421010310003003,"Block 3003, Block Group 3, Census Tract 310, Philadelphia County, Pennsylvania",101
421010063004004,"Block 4004, Block Group 4, Census Tract 63, Philadelphia County, Pennsylvania",119
421010131001007,"Block 1007, Block Group 1, Census Tract 131, Philadelphia County, Pennsylvania",0
421010132001016,"Block 1016, Block Group 1, Census Tract 132, Philadelphia County, Pennsylvania",57
421010133001016,"Block 1016, Block Group 1, Census Tract 133, Philadelphia County, Pennsylvania",74
421010252002002,"Block 2002, Block Group 2, Census Tract 252, Philadelphia County, Pennsylvania",114
421010253001000,"Block 1000, Block Group 1, Census Tract 253, Philadelphia County, Pennsylvania",105
421010254002006,"Block 2006, Block Group 2, Census Tract 254, Philadelphia County, Pennsylvania",125
421010385001014,"Block 1014, Block Group 1, Census Tract 385, Philadelphia County, Pennsylvania",45
421010387002002,"Block 2002, Block Group 2, Census Tract 387, Philadelphia County, Pennsylvania",48
421010389001000,"Block 1000, Block Group 1, Census Tract 389, Philadelphia County, Pennsylvania",0
421019800021031,"Block 1031, Block Group 1, Census Tract 9800.02, Philadelphia County, Pennsylvania",0
421019800022009,"Block 2009, Block Group 2, Census Tract 9800.02, Philadelphia County, Pennsylvania",0
421019802001021,"Block 1021, Block Group 1, Census Tract 9802, Philadelphia County, Pennsylvania",0
421019807013002,"Block 3002, Block Group 3, Census Tract 9807.01, Philadelphia County, Pennsylvania",0
421010027021007,"Block 1007, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",71
421010027021008,"Block 1008, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",128
421010027021010,"Block 1010, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",62
421010027021011,"Block 1011, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",80
421010027021012,"Block 1012, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",64
421010027021014,"Block 1014, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",108
421010027021015,"Block 1015, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",160
421010027021017,"Block 1017, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",69
421010027021018,"Block 1018, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",95
421010027021019,"Block 1019, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",98
421010027021021,"Block 1021, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",165
421010027021022,"Block 1022, Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",110
421010027022000,"Block 2000, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",17
421010027022001,"Block 2001, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",34
421010027022002,"Block 2002, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",94
421010027022003,"Block 2003, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",35
421010027022004,"Block 2004, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",9
421010027022005,"Block 2005, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",70
421010027022006,"Block 2006, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",31
421010027022007,"Block 2007, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",0
421010027022008,"Block 2008, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",95
421010027022009,"Block 2009, Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",138
421010083024003,"Block 4003, Block Group 4, Census Tract 83.02, Philadelphia County, Pennsylvania",98
421010083024004,"Block 4004, Block Group 4, Census Tract 83.02, Philadelphia County, Pennsylvania",128
421010083024007,"Block 4007, Block Group 4, Census Tract 83.02, Philadelphia County, Pennsylvania",147
421010084001000,"Block 1000, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",173
421010084001002,"Block 1002, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",106
421010084001003,"Block 1003, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",110
421010084001005,"Block 1005, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",57
421010084001006,"Block 1006, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",43
421010084001007,"Block 1007, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",101
421010084001009,"Block 1009, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",37
421010084001010,"Block 1010, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",53
421010084001012,"Block 1012, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",64
421010084001013,"Block 1013, Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",64
421010084002001,"Block 2001, Block Group 2, Census Tract 84, Philadelphia County, Pennsylvania",109
421010192005007,"Block 5007, Block Group 5, Census Tract 192, Philadelphia County, Pennsylvania",184
421010192005008,"Block 5008, Block Group 5, Census Tract 192, Philadelphia County, Pennsylvania",153
421010192005010,"Block 5010, Block Group 5, Census Tract 192, Philadelphia County, Pennsylvania",0
421010192005011,"Block 5011, Block Group 5, Census Tract 192, Philadelphia County, Pennsylvania",141
421010192005012,"Block 5012, Block Group 5, Census Tract 192, Philadelphia County, Pennsylvania",159
421010192005013,"Block 5013, Block Group 5, Census Tract 192, Philadelphia County, Pennsylvania",191
421010195011000,"Block 1000, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",143
421010195011001,"Block 1001, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",157
421010195011002,"Block 1002, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",173
421010195011003,"Block 1003, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",125
421010195011004,"Block 1004, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",75
421010195011005,"Block 1005, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",0
421010195011006,"Block 1006, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",147
421010195011007,"Block 1007, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",74
421010195011008,"Block 1008, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",76
421010195011009,"Block 1009, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",185
421010195011010,"Block 1010, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",230
421010195011011,"Block 1011, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",0
421010195011012,"Block 1012, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",74
421010195011014,"Block 1014, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",64
421010195011015,"Block 1015, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",60
421010195011016,"Block 1016, Block Group 1, Census Tract 195.01, Philadelphia County, Pennsylvania",76
421010195012001,"Block 2001, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",215
421010195012002,"Block 2002, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",159
421010195012004,"Block 2004, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",180
421010195012005,"Block 2005, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",81
421010195012006,"Block 2006, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",68
421010195012008,"Block 2008, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",80
421010195012009,"Block 2009, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",118
421010195012011,"Block 2011, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",0
421010195012012,"Block 2012, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",110
421010195012013,"Block 2013, Block Group 2, Census Tract 195.01, Philadelphia County, Pennsylvania",119
421010195013001,"Block 3001, Block Group 3, Census Tract 195.01, Philadelphia County, Pennsylvania",158
421010195013002,"Block 3002, Block Group 3, Census Tract 195.01, Philadelphia County, Pennsylvania",138
421010195013004,"Block 3004, Block Group 3, Census Tract 195.01, Philadelphia County, Pennsylvania",79
421010028022015,"Block 2015, Block Group 2, Census Tract 28.02, Philadelphia County, Pennsylvania",84
421010028022016,"Block 2016, Block Group 2, Census Tract 28.02, Philadelphia County, Pennsylvania",37
421010028023000,"Block 3000, Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",108
421010028023002,"Block 3002, Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",61
421010028023003,"Block 3003, Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",133
421010028023005,"Block 3005, Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",168
421010028023006,"Block 3006, Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",74
421010028023007,"Block 3007, Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",0
421010028023009,"Block 3009, Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",46
