geoid,geoname,total
42023900,"Census Tract 239, Dauphin County, Pennsylvania",3971
42024001,"Census Tract 240.01, Dauphin County, Pennsylvania",6037
42024002,"Census Tract 240.02, Dauphin County, Pennsylvania",2952
42024101,"Census Tract 241.01, Dauphin County, Pennsylvania",2068
42024102,"Census Tract 241.02, Dauphin County, Pennsylvania",4417
42024104,"Census Tract 241.04, Dauphin County, Pennsylvania",6194
42024105,"Census Tract 241.05, Dauphin County, Pennsylvania",5826
42024200,"Census Tract 242, Dauphin County, Pennsylvania",2662
42024300,"Census Tract 243, Dauphin County, Pennsylvania",3476
42024400,"Census Tract 244, Dauphin County, Pennsylvania",4616
42005704,"Census Tract 57.04, Lehigh County, Pennsylvania",3561
42005705,"Census Tract 57.05, Lehigh County, Pennsylvania",6087
42005800,"Census Tract 58, Lehigh County, Pennsylvania",3348
42005901,"Census Tract 59.01, Lehigh County, Pennsylvania",6518
42005902,"Census Tract 59.02, Lehigh County, Pennsylvania",1689
42006001,"Census Tract 60.01, Lehigh County, Pennsylvania",4894
42006002,"Census Tract 60.02, Lehigh County, Pennsylvania",6313
42006101,"Census Tract 61.01, Lehigh County, Pennsylvania",4196
42006102,"Census Tract 61.02, Lehigh County, Pennsylvania",5677
42006203,"Census Tract 62.03, Lehigh County, Pennsylvania",9604
42006204,"Census Tract 62.04, Lehigh County, Pennsylvania",3964
42006205,"Census Tract 62.05, Lehigh County, Pennsylvania",5355
42006206,"Census Tract 62.06, Lehigh County, Pennsylvania",7454
42006302,"Census Tract 63.02, Lehigh County, Pennsylvania",7818
42006303,"Census Tract 63.03, Lehigh County, Pennsylvania",3257
42006304,"Census Tract 63.04, Lehigh County, Pennsylvania",4023
42006305,"Census Tract 63.05, Lehigh County, Pennsylvania",6915
42006309,"Census Tract 63.09, Lehigh County, Pennsylvania",3896
42006310,"Census Tract 63.10, Lehigh County, Pennsylvania",4970
42006311,"Census Tract 63.11, Lehigh County, Pennsylvania",4150
42006312,"Census Tract 63.12, Lehigh County, Pennsylvania",3250
42006401,"Census Tract 64.01, Lehigh County, Pennsylvania",2846
42006402,"Census Tract 64.02, Lehigh County, Pennsylvania",4883
42006500,"Census Tract 65, Lehigh County, Pennsylvania",5775
42006600,"Census Tract 66, Lehigh County, Pennsylvania",5925
42006701,"Census Tract 67.01, Lehigh County, Pennsylvania",4796
42006702,"Census Tract 67.02, Lehigh County, Pennsylvania",2776
42006703,"Census Tract 67.03, Lehigh County, Pennsylvania",6049
42006800,"Census Tract 68, Lehigh County, Pennsylvania",4832
42006902,"Census Tract 69.02, Lehigh County, Pennsylvania",2449
42006903,"Census Tract 69.03, Lehigh County, Pennsylvania",6957
42006905,"Census Tract 69.05, Lehigh County, Pennsylvania",5468
42006906,"Census Tract 69.06, Lehigh County, Pennsylvania",4546
42007000,"Census Tract 70, Lehigh County, Pennsylvania",3861
42009100,"Census Tract 91, Lehigh County, Pennsylvania",3741
42009200,"Census Tract 92, Lehigh County, Pennsylvania",3846
42009300,"Census Tract 93, Lehigh County, Pennsylvania",3386
42009400,"Census Tract 94, Lehigh County, Pennsylvania",4118
42009500,"Census Tract 95, Lehigh County, Pennsylvania",4681
42009601,"Census Tract 96.01, Lehigh County, Pennsylvania",3106
42009602,"Census Tract 96.02, Lehigh County, Pennsylvania",5360
42009700,"Census Tract 97, Lehigh County, Pennsylvania",3934
42200100,"Census Tract 2001, Luzerne County, Pennsylvania",3960
42200200,"Census Tract 2002, Luzerne County, Pennsylvania",3683
42200300,"Census Tract 2003, Luzerne County, Pennsylvania",1867
42008000,"Census Tract 80, Philadelphia County, Pennsylvania",3942
42008101,"Census Tract 81.01, Philadelphia County, Pennsylvania",2715
42008102,"Census Tract 81.02, Philadelphia County, Pennsylvania",5034
42008200,"Census Tract 82, Philadelphia County, Pennsylvania",6935
42008301,"Census Tract 83.01, Philadelphia County, Pennsylvania",4310
42008302,"Census Tract 83.02, Philadelphia County, Pennsylvania",4998
42008400,"Census Tract 84, Philadelphia County, Pennsylvania",4611
42008500,"Census Tract 85, Philadelphia County, Pennsylvania",6773
42008601,"Census Tract 86.01, Philadelphia County, Pennsylvania",3212
42008602,"Census Tract 86.02, Philadelphia County, Pennsylvania",3452
42008701,"Census Tract 87.01, Philadelphia County, Pennsylvania",4347
42008702,"Census Tract 87.02, Philadelphia County, Pennsylvania",3441
42008801,"Census Tract 88.01, Philadelphia County, Pennsylvania",1600
42008802,"Census Tract 88.02, Philadelphia County, Pennsylvania",6580
42009000,"Census Tract 90, Philadelphia County, Pennsylvania",7694
42009100,"Census Tract 91, Philadelphia County, Pennsylvania",3934
42009200,"Census Tract 92, Philadelphia County, Pennsylvania",3974
42009300,"Census Tract 93, Philadelphia County, Pennsylvania",4261
42009400,"Census Tract 94, Philadelphia County, Pennsylvania",3766
42009500,"Census Tract 95, Philadelphia County, Pennsylvania",3289
42009600,"Census Tract 96, Philadelphia County, Pennsylvania",4275
42009801,"Census Tract 98.01, Philadelphia County, Pennsylvania",2206
42009802,"Census Tract 98.02, Philadelphia County, Pennsylvania",5495
42010000,"Census Tract 100, Philadelphia County, Pennsylvania",4397
42010100,"Census Tract 101, Philadelphia County, Pennsylvania",5640
42010200,"Census Tract 102, Philadelphia County, Pennsylvania",3147
42010300,"Census Tract 103, Philadelphia County, Pennsylvania",2572
42010400,"Census Tract 104, Philadelphia County, Pennsylvania",3573
42010500,"Census Tract 105, Philadelphia County, Pennsylvania",3363
42010600,"Census Tract 106, Philadelphia County, Pennsylvania",1476
42010700,"Census Tract 107, Philadelphia County, Pennsylvania",3479
42010800,"Census Tract 108, Philadelphia County, Pennsylvania",3936
42010900,"Census Tract 109, Philadelphia County, Pennsylvania",2641
42011000,"Census Tract 110, Philadelphia County, Pennsylvania",3378
42011100,"Census Tract 111, Philadelphia County, Pennsylvania",3537
42011200,"Census Tract 112, Philadelphia County, Pennsylvania",5598
42011300,"Census Tract 113, Philadelphia County, Pennsylvania",2834
42011400,"Census Tract 114, Philadelphia County, Pennsylvania",6320
42011500,"Census Tract 115, Philadelphia County, Pennsylvania",4104
42011700,"Census Tract 117, Philadelphia County, Pennsylvania",1893
42011800,"Census Tract 118, Philadelphia County, Pennsylvania",5491
42011900,"Census Tract 119, Philadelphia County, Pennsylvania",5016
42012000,"Census Tract 120, Philadelphia County, Pennsylvania",1943
42400300,"Census Tract 4003, Wyoming County, Pennsylvania",4435
42400400,"Census Tract 4004, Wyoming County, Pennsylvania",3992
42400500,"Census Tract 4005, Wyoming County, Pennsylvania",3741
42400600,"Census Tract 4006, Wyoming County, Pennsylvania",3202
42400700,"Census Tract 4007, Wyoming County, Pennsylvania",3991
42000100,"Census Tract 1, York County, Pennsylvania",1559
42000200,"Census Tract 2, York County, Pennsylvania",2990
42000300,"Census Tract 3, York County, Pennsylvania",2440
42000400,"Census Tract 4, York County, Pennsylvania",2192
42000500,"Census Tract 5, York County, Pennsylvania",2566
42000600,"Census Tract 6, York County, Pennsylvania",2857
42000700,"Census Tract 7, York County, Pennsylvania",3309
42000800,"Census Tract 8, York County, Pennsylvania",2307
42000900,"Census Tract 9, York County, Pennsylvania",3213
42001000,"Census Tract 10, York County, Pennsylvania",1531
42001100,"Census Tract 11, York County, Pennsylvania",3847
42001200,"Census Tract 12, York County, Pennsylvania",3070
42001300,"Census Tract 13, York County, Pennsylvania",3319
42001400,"Census Tract 14, York County, Pennsylvania",4262
42001500,"Census Tract 15, York County, Pennsylvania",3687
42001600,"Census Tract 16, York County, Pennsylvania",1651
42010120,"Census Tract 101.20, York County, Pennsylvania",4891
42010130,"Census Tract 101.30, York County, Pennsylvania",3793
42010131,"Census Tract 101.31, York County, Pennsylvania",3512
42010132,"Census Tract 101.32, York County, Pennsylvania",5175
42010210,"Census Tract 102.10, York County, Pennsylvania",3346
42010220,"Census Tract 102.20, York County, Pennsylvania",6341
42010300,"Census Tract 103, York County, Pennsylvania",1742
42010400,"Census Tract 104, York County, Pennsylvania",3817
42010510,"Census Tract 105.10, York County, Pennsylvania",5708
42010520,"Census Tract 105.20, York County, Pennsylvania",2416
42020100,"Census Tract 201, York County, Pennsylvania",3339
42020220,"Census Tract 202.20, York County, Pennsylvania",4630
42020221,"Census Tract 202.21, York County, Pennsylvania",4880
42020222,"Census Tract 202.22, York County, Pennsylvania",4602
42020310,"Census Tract 203.10, York County, Pennsylvania",2675
42020321,"Census Tract 203.21, York County, Pennsylvania",3491
42020322,"Census Tract 203.22, York County, Pennsylvania",3935
42020410,"Census Tract 204.10, York County, Pennsylvania",5550
