service_id,date,exception_type
336010,20240402,1
341610,20240402,1
33710,20240403,1
34010,20240403,1
65010,20240403,1
336010,20240403,1
341510,20240403,1
33610,20240404,1
34010,20240404,1
65110,20240404,1
336010,20240404,1
341510,20240404,1
33610,20240405,1
34110,20240405,1
65010,20240405,1
336010,20240405,1
341510,20240405,1
33610,20240408,1
34010,20240408,1
65110,20240408,1
336110,20240408,1
341510,20240408,1
33610,20240409,1
34010,20240409,1
65110,20240409,1
336010,20240409,1
341610,20240409,1
33710,20240410,1
34010,20240410,1
65010,20240410,1
336010,20240410,1
341510,20240410,1
33610,20240411,1
34010,20240411,1
65110,20240411,1
336010,20240411,1
341510,20240411,1
33610,20240412,1
34110,20240412,1
65010,20240412,1
336010,20240412,1
341510,20240412,1
33610,20240415,1
34010,20240415,1
65110,20240415,1
336110,20240415,1
341510,20240415,1
33610,20240416,1
34010,20240416,1
65110,20240416,1
336010,20240416,1
341610,20240416,1
33710,20240417,1
34010,20240417,1
65010,20240417,1
336010,20240417,1
341510,20240417,1
33610,20240418,1
34010,20240418,1
65110,20240418,1
336010,20240418,1
341510,20240418,1
33610,20240419,1
34110,20240419,1
65010,20240419,1
336010,20240419,1
341510,20240419,1
33610,20240422,1
34010,20240422,1
65110,20240422,1
336110,20240422,1
341510,20240422,1
33610,20240423,1
34010,20240423,1
65110,20240423,1
336010,20240423,1
341610,20240423,1
33710,20240424,1
34010,20240424,1
65010,20240424,1
336010,20240424,1
341510,20240424,1
33610,20240425,1
34010,20240425,1
65110,20240425,1
336010,20240425,1
341510,20240425,1
33610,20240426,1
34110,20240426,1
65010,20240426,1
336010,20240426,1
341510,20240426,1
33610,20240429,1
34010,20240429,1
65110,20240429,1
336110,20240429,1
341510,20240429,1
33610,20240430,1
34010,20240430,1
65110,20240430,1
336010,20240430,1
341610,20240430,1
33710,20240501,1
34010,20240501,1
65010,20240501,1
336010,20240501,1
341510,20240501,1
33610,20240502,1
34010,20240502,1
65110,20240502,1
336010,20240502,1
341510,20240502,1
33610,20240503,1
34110,20240503,1
65010,20240503,1
336010,20240503,1
341510,20240503,1
33610,20240506,1
34010,20240506,1
65110,20240506,1
336110,20240506,1
341510,20240506,1
33610,20240507,1
34010,20240507,1
65110,20240507,1
336010,20240507,1
341610,20240507,1
33710,20240508,1
34010,20240508,1
65010,20240508,1
336010,20240508,1
341510,20240508,1
33610,20240509,1
34010,20240509,1
65110,20240509,1
336010,20240509,1
341510,20240509,1
33610,20240510,1
34110,20240510,1
65010,20240510,1
336010,20240510,1
341510,20240510,1
33610,20240513,1
34010,20240513,1
65110,20240513,1
336110,20240513,1
341510,20240513,1
33610,20240514,1
34010,20240514,1
65110,20240514,1
336010,20240514,1
341610,20240514,1
33710,20240515,1
34010,20240515,1
65010,20240515,1
336010,20240515,1
341510,20240515,1
33610,20240516,1
34010,20240516,1
65110,20240516,1
336010,20240516,1
341510,20240516,1
33610,20240517,1
34110,20240517,1
65010,20240517,1
336010,20240517,1
341510,20240517,1
33610,20240520,1
34010,20240520,1
65110,20240520,1
336110,20240520,1
341510,20240520,1
33610,20240521,1
34010,20240521,1
65110,20240521,1
336010,20240521,1
341610,20240521,1
33710,20240522,1
34010,20240522,1
65010,20240522,1
336010,20240522,1
341510,20240522,1
33610,20240523,1
34010,20240523,1
65110,20240523,1
336010,20240523,1
341510,20240523,1
33610,20240524,1
34110,20240524,1
65010,20240524,1
336010,20240524,1
341510,20240524,1
13,20240527,1
10,20240527,2
33610,20240528,1
34010,20240528,1
65110,20240528,1
336010,20240528,1
341610,20240528,1
33710,20240529,1
34010,20240529,1
65010,20240529,1
336010,20240529,1
341510,20240529,1
33610,20240530,1
34010,20240530,1
65110,20240530,1
336010,20240530,1
341510,20240530,1
33610,20240531,1
34110,20240531,1
65010,20240531,1
336010,20240531,1
341510,20240531,1
33610,20240603,1
34010,20240603,1
65110,20240603,1
336110,20240603,1
341510,20240603,1
33610,20240604,1
34010,20240604,1
65110,20240604,1
336010,20240604,1
341610,20240604,1
33710,20240605,1
34010,20240605,1
65010,20240605,1
336010,20240605,1
341510,20240605,1
33610,20240606,1
34010,20240606,1
