stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
28034,PENFRASE,Pennsylvania Av & Franklin St,N PENNSYLVANIA AVE & E FRANKLIN ST,40.21321,-74.780109,1,,,,,1
28035,PENPALSE,Pennsylvania Av & Palmer St,N PENNSYLVANIA AVE & E FRANKLIN ST,40.211999,-74.77884,1,,,,,1
28037,PENHILSE,Pennsylvania Av & Hillcrest Av,N PENNSYLVANIA AVE & HILLCREST AVE,40.210383,-74.777207,1,,,,,1
28040,PENUNINW,Pennsylvania Av & Union St,N PENNSYLVANIA AVE & UNION ST,40.20988,-74.776548,1,,0,,,1
28041,PENOSBNW,Pennsylvania Av & Osborne Av,N PENNSYLVANIA AVE & OSBORNE AVE,40.210849,-74.777476,1,,,,,1
28045,PENMAPNW,Pennsylvania Av & Maple Av - MBFS,N PENNSYLVANIA AVE & OSBORNE AVE,40.215536,-74.782838,1,,,,,1
28049,WETHAMSW,W Trenton Av & Hamilton Blvd,W TRENTON AVE & HAMILTON AVE,40.213809,-74.788993,1,,,,,1
28050,TRELINSW,W Trenton Av & Lincoln Av,W TRENTON AVE & LINCOLN AVE,40.212732,-74.791267,1,,,,,1
28052,TREDOLSW,W Trenton Av & Doloro Dr - FS,W TRENTON AVE & DOLORO DR,40.211142,-74.794718,1,,,,,1
28054,TREBIOSW,W Trenton Av & Big Oak Rd,W TRENTON AVE & BIG OAK RD,40.209431,-74.798739,1,,,,,1
28055,TREPLASW,W Trenton Av & Plaza Dr - FS,W TRENTON AVE & PLAZA BLVD,40.208285,-74.801712,1,,0,,,1
28058,TRESTESW,W Trenton Av & Stevens Dr - MBFS,W TRENTON AVE & SWEETBRIAR DR,40.205973,-74.805347,1,,,,,1
28066,TREWOOSW,W Trenton Dr & Woolston Dr - MBNS,W TRENTON AVE & AVENROWE CT,40.197437,-74.813692,1,,,,,1
28067,WOOMAKWE,Woolston Dr & Makefield Rd,WOOLSTON DR & MAKEFIELD RD,40.195678,-74.817274,1,,,,,1
28068,TREOALEA,Trenton Rd & Beverly Ln,TRENTON RD & BEVERLY AVE,40.187621,-74.829191,1,,,,,1
28073,NEWMAREA,Tyburn Rd & Martha Dr - FS,TYBURN RD & MARTHA DR,40.182772,-74.813901,1,,,,,1
28076,LEVWALNO,Levittown Town Center & Walmart,LEVITTOWN SHOP CIR & LEVITTOWN CTR,40.142673,-74.820451,1,,,,,1
28077,LEVLAKNO,Levittown Pkwy & Lakeside Dr,LEVITTOWN PKWY & LAKESIDE DR,40.145533,-74.821196,1,,,,,1
28079,LEVSEXNO,Levittown Pkwy & Sexton Ln,LEVITTOWN PKWY & SEXTON LN,40.151615,-74.825597,1,,,,,1
28080,LEVPENNO,Levittown Pkwy & Penn Ln,LEVITTOWN PKWY & PENN LN,40.154454,-74.827669,1,,,,,1
28082,LEVWLWNO,Levittown Pkwy & Willowood Way,LEVITTOWN PKWY & WILLOW WAY,40.15715,-74.829707,1,,,,,1
28084,LEVWILNO,Levittown Pkwy & Willowood Gate,LEVITTOWN PKWY & WILLOW TURN,40.159873,-74.831733,1,,,,,1
