geoname,geoid,total
"Block Group 1, Census Tract 21, Philadelphia County, Pennsylvania",1500000US421010021001,812
"Block Group 2, Census Tract 22, Philadelphia County, Pennsylvania",1500000US421010022002,700
"Block Group 2, Census Tract 23, Philadelphia County, Pennsylvania",1500000US421010023002,1903
"Block Group 3, Census Tract 24, Philadelphia County, Pennsylvania",1500000US421010024003,1449
"Block Group 1, Census Tract 25, Philadelphia County, Pennsylvania",1500000US421010025001,1347
"Block Group 4, Census Tract 25, Philadelphia County, Pennsylvania",1500000US421010025004,1327
"Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",1500000US421010027021,2223
"Block Group 2, Census Tract 28.01, Philadelphia County, Pennsylvania",1500000US421010028012,2245
"Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",1500000US421010028023,1869
"Block Group 3, Census Tract 29, Philadelphia County, Pennsylvania",1500000US421010029003,2021
"Block Group 1, Census Tract 32, Philadelphia County, Pennsylvania",1500000US421010032001,795
"Block Group 4, Census Tract 32, Philadelphia County, Pennsylvania",1500000US421010032004,885
"Block Group 3, Census Tract 211, York County, Pennsylvania",1500000US421330211003,720
"Block Group 2, Census Tract 212.21, York County, Pennsylvania",1500000US421330212212,2204
"Block Group 3, Census Tract 214.10, York County, Pennsylvania",1500000US421330214103,2124
"Block Group 3, Census Tract 214.20, York County, Pennsylvania",1500000US421330214203,972
"Block Group 1, Census Tract 215, York County, Pennsylvania",1500000US421330215001,901
"Block Group 4, Census Tract 215, York County, Pennsylvania",1500000US421330215004,1105
"Block Group 3, Census Tract 216, York County, Pennsylvania",1500000US421330216003,881
"Block Group 1, Census Tract 217.12, York County, Pennsylvania",1500000US421330217121,1090
"Block Group 4, Census Tract 217.12, York County, Pennsylvania",1500000US421330217124,1989
"Block Group 2, Census Tract 217.20, York County, Pennsylvania",1500000US421330217202,1675
"Block Group 2, Census Tract 218.01, York County, Pennsylvania",1500000US421330218012,1597
"Block Group 2, Census Tract 218.02, York County, Pennsylvania",1500000US421330218022,2741
"Block Group 3, Census Tract 219.01, York County, Pennsylvania",1500000US421330219013,926
"Block Group 3, Census Tract 219.02, York County, Pennsylvania",1500000US421330219023,1766
"Block Group 2, Census Tract 220, York County, Pennsylvania",1500000US421330220002,921
"Block Group 1, Census Tract 221, York County, Pennsylvania",1500000US421330221001,1120
"Block Group 4, Census Tract 221, York County, Pennsylvania",1500000US421330221004,688
"Block Group 2, Census Tract 222, York County, Pennsylvania",1500000US421330222002,1722
"Block Group 2, Census Tract 225, York County, Pennsylvania",1500000US421330225002,1242
"Block Group 1, Census Tract 226.01, York County, Pennsylvania",1500000US421330226011,805
"Block Group 2, Census Tract 226.02, York County, Pennsylvania",1500000US421330226022,1516
"Block Group 1, Census Tract 227.01, York County, Pennsylvania",1500000US421330227011,1462
"Block Group 1, Census Tract 227.02, York County, Pennsylvania",1500000US421330227021,950
"Block Group 1, Census Tract 228.01, York County, Pennsylvania",1500000US421330228011,2101
"Block Group 1, Census Tract 228.02, York County, Pennsylvania",1500000US421330228021,1984
"Block Group 2, Census Tract 229.20, York County, Pennsylvania",1500000US421330229202,1218
"Block Group 1, Census Tract 229.21, York County, Pennsylvania",1500000US421330229211,1168
"Block Group 1, Census Tract 229.23, York County, Pennsylvania",1500000US421330229231,2059
"Block Group 1, Census Tract 230, York County, Pennsylvania",1500000US421330230001,1055
"Block Group 4, Census Tract 230, York County, Pennsylvania",1500000US421330230004,1032
"Block Group 2, Census Tract 231, York County, Pennsylvania",1500000US421330231002,995
"Block Group 5, Census Tract 231, York County, Pennsylvania",1500000US421330231005,730
"Block Group 2, Census Tract 232, York County, Pennsylvania",1500000US421330232002,2771
"Block Group 1, Census Tract 236.01, York County, Pennsylvania",1500000US421330236011,1717
"Block Group 1, Census Tract 236.02, York County, Pennsylvania",1500000US421330236021,1303
"Block Group 1, Census Tract 237.10, York County, Pennsylvania",1500000US421330237101,964
"Block Group 1, Census Tract 237.21, York County, Pennsylvania",1500000US421330237211,2493
"Block Group 4, Census Tract 237.21, York County, Pennsylvania",1500000US421330237214,1009
"Block Group 1, Census Tract 238.10, York County, Pennsylvania",1500000US421330238101,820
"Block Group 4, Census Tract 238.10, York County, Pennsylvania",1500000US421330238104,1181
"Block Group 3, Census Tract 238.21, York County, Pennsylvania",1500000US421330238213,1345
"Block Group 1, Census Tract 301.03, Adams County, Pennsylvania",1500000US420010301031,2375
"Block Group 1, Census Tract 302, Adams County, Pennsylvania",1500000US420010302001,1922
"Block Group 1, Census Tract 303, Adams County, Pennsylvania",1500000US420010303001,2145
"Block Group 2, Census Tract 308.01, Adams County, Pennsylvania",1500000US420010308012,1721
"Block Group 1, Census Tract 308.03, Adams County, Pennsylvania",1500000US420010308031,1252
"Block Group 2, Census Tract 309.01, Adams County, Pennsylvania",1500000US420010309012,1699
"Block Group 1, Census Tract 310, Adams County, Pennsylvania",1500000US420010310001,2310
"Block Group 3, Census Tract 311.01, Adams County, Pennsylvania",1500000US420010311013,2100
"Block Group 2, Census Tract 312.01, Adams County, Pennsylvania",1500000US420010312012,385
"Block Group 2, Census Tract 312.02, Adams County, Pennsylvania",1500000US420010312022,1500
"Block Group 1, Census Tract 313, Adams County, Pennsylvania",1500000US420010313001,1465
"Block Group 1, Census Tract 314.01, Adams County, Pennsylvania",1500000US420010314011,1077
"Block Group 4, Census Tract 314.01, Adams County, Pennsylvania",1500000US420010314014,1024
"Block Group 1, Census Tract 315.01, Adams County, Pennsylvania",1500000US420010315011,2100
"Block Group 2, Census Tract 315.02, Adams County, Pennsylvania",1500000US420010315022,955
"Block Group 1, Census Tract 316, Adams County, Pennsylvania",1500000US420010316001,997
"Block Group 4, Census Tract 316, Adams County, Pennsylvania",1500000US420010316004,1974
"Block Group 2, Census Tract 317, Adams County, Pennsylvania",1500000US420010317002,1687
"Block Group 2, Census Tract 404, Allegheny County, Pennsylvania",1500000US420030404002,1535
"Block Group 1, Census Tract 406, Allegheny County, Pennsylvania",1500000US420030406001,1174
"Block Group 2, Census Tract 409, Allegheny County, Pennsylvania",1500000US420030409002,1096
"Block Group 2, Census Tract 501, Allegheny County, Pennsylvania",1500000US420030501002,864
"Block Group 1, Census Tract 509, Allegheny County, Pennsylvania",1500000US420030509001,1386
"Block Group 1, Census Tract 511, Allegheny County, Pennsylvania",1500000US420030511001,617
"Block Group 1, Census Tract 605, Allegheny County, Pennsylvania",1500000US420030605001,665
"Block Group 1, Census Tract 131, Cambria County, Pennsylvania",1500000US420210131001,706
"Block Group 1, Census Tract 132, Cambria County, Pennsylvania",1500000US420210132001,1001
"Block Group 4, Census Tract 132, Cambria County, Pennsylvania",1500000US420210132004,1306
"Block Group 3, Census Tract 133, Cambria County, Pennsylvania",1500000US420210133003,2068
"Block Group 1, Census Tract 134, Cambria County, Pennsylvania",1500000US420210134001,923
"Block Group 1, Census Tract 135, Cambria County, Pennsylvania",1500000US420210135001,1008
"Block Group 2, Census Tract 136, Cambria County, Pennsylvania",1500000US420210136002,953
"Block Group 1, Census Tract 137, Cambria County, Pennsylvania",1500000US420210137001,2727
"Block Group 1, Census Tract 9601, Cameron County, Pennsylvania",1500000US420239601001,1042
"Block Group 2, Census Tract 9602, Cameron County, Pennsylvania",1500000US420239602002,974
"Block Group 2, Census Tract 201.02, Carbon County, Pennsylvania",1500000US420250201022,1453
"Block Group 2, Census Tract 201.03, Carbon County, Pennsylvania",1500000US420250201032,1399
"Block Group 3, Census Tract 202.02, Carbon County, Pennsylvania",1500000US420250202023,913
"Block Group 3, Census Tract 203.01, Carbon County, Pennsylvania",1500000US420250203013,1724
"Block Group 3, Census Tract 203.02, Carbon County, Pennsylvania",1500000US420250203023,898
"Block Group 3, Census Tract 204, Carbon County, Pennsylvania",1500000US420250204003,790
"Block Group 1, Census Tract 205.01, Carbon County, Pennsylvania",1500000US420250205011,928
"Block Group 4, Census Tract 205.01, Carbon County, Pennsylvania",1500000US420250205014,957
"Block Group 1, Census Tract 206, Carbon County, Pennsylvania",1500000US420250206001,1718
"Block Group 1, Census Tract 207, Carbon County, Pennsylvania",1500000US420250207001,1830
"Block Group 4, Census Tract 207, Carbon County, Pennsylvania",1500000US420250207004,996
"Block Group 3, Census Tract 208.01, Carbon County, Pennsylvania",1500000US420250208013,777
"Block Group 2, Census Tract 208.02, Carbon County, Pennsylvania",1500000US420250208022,1684
"Block Group 2, Census Tract 209, Carbon County, Pennsylvania",1500000US420250209002,1278
"Block Group 5, Census Tract 209, Carbon County, Pennsylvania",1500000US420250209005,898
"Block Group 3, Census Tract 101, Centre County, Pennsylvania",1500000US420270101003,738
"Block Group 2, Census Tract 102, Centre County, Pennsylvania",1500000US420270102002,670
"Block Group 2, Census Tract 107, Centre County, Pennsylvania",1500000US420270107002,1941
"Block Group 1, Census Tract 108.01, Centre County, Pennsylvania",1500000US420270108011,1998
"Block Group 3, Census Tract 108.02, Centre County, Pennsylvania",1500000US420270108023,831
"Block Group 3, Census Tract 109.01, Centre County, Pennsylvania",1500000US420270109013,1269
"Block Group 3, Census Tract 109.02, Centre County, Pennsylvania",1500000US420270109023,1291
"Block Group 1, Census Tract 110.02, Centre County, Pennsylvania",1500000US420270110021,1476
"Block Group 4, Census Tract 110.02, Centre County, Pennsylvania",1500000US420270110024,767
"Block Group 3, Census Tract 111.01, Centre County, Pennsylvania",1500000US420270111013,841
"Block Group 2, Census Tract 111.02, Centre County, Pennsylvania",1500000US420270111022,847
"Block Group 2, Census Tract 112.01, Centre County, Pennsylvania",1500000US420270112012,1140
"Block Group 1, Census Tract 113.01, Centre County, Pennsylvania",1500000US420270113011,2451
"Block Group 1, Census Tract 113.03, Centre County, Pennsylvania",1500000US420270113031,2086
"Block Group 1, Census Tract 114.01, Centre County, Pennsylvania",1500000US420270114011,1152
"Block Group 2, Census Tract 103.01, Lancaster County, Pennsylvania",1500000US420710103012,1452
"Block Group 2, Census Tract 106.01, Lancaster County, Pennsylvania",1500000US420710106012,1349
"Block Group 2, Census Tract 106.02, Lancaster County, Pennsylvania",1500000US420710106022,2731
"Block Group 2, Census Tract 107.01, Lancaster County, Pennsylvania",1500000US420710107012,1063
"Block Group 5, Census Tract 107.01, Lancaster County, Pennsylvania",1500000US420710107015,1628
"Block Group 3, Census Tract 107.02, Lancaster County, Pennsylvania",1500000US420710107023,1250
"Block Group 2, Census Tract 108.02, Lancaster County, Pennsylvania",1500000US420710108022,1597
"Block Group 3, Census Tract 108.03, Lancaster County, Pennsylvania",1500000US420710108033,1646
"Block Group 1, Census Tract 109.01, Lancaster County, Pennsylvania",1500000US420710109011,1371
"Block Group 1, Census Tract 109.02, Lancaster County, Pennsylvania",1500000US420710109021,1405
"Block Group 1, Census Tract 110, Lancaster County, Pennsylvania",1500000US420710110001,1381
"Block Group 2, Census Tract 111.01, Lancaster County, Pennsylvania",1500000US420710111012,2015
"Block Group 2, Census Tract 111.02, Lancaster County, Pennsylvania",1500000US420710111022,1030
"Block Group 1, Census Tract 113, Lancaster County, Pennsylvania",1500000US420710113001,1713
"Block Group 1, Census Tract 114, Lancaster County, Pennsylvania",1500000US420710114001,1034
"Block Group 3, Census Tract 116, Lancaster County, Pennsylvania",1500000US420710116003,1635
"Block Group 1, Census Tract 117.01, Lancaster County, Pennsylvania",1500000US420710117011,1576
"Block Group 1, Census Tract 117.04, Lancaster County, Pennsylvania",1500000US420710117041,1732
"Block Group 1, Census Tract 117.05, Lancaster County, Pennsylvania",1500000US420710117051,959
"Block Group 4, Census Tract 117.05, Lancaster County, Pennsylvania",1500000US420710117054,1776
"Block Group 1, Census Tract 117.07, Lancaster County, Pennsylvania",1500000US420710117071,1747
"Block Group 1, Census Tract 118.01, Lancaster County, Pennsylvania",1500000US420710118011,969
"Block Group 2, Census Tract 118.02, Lancaster County, Pennsylvania",1500000US420710118022,1515
"Block Group 1, Census Tract 118.03, Lancaster County, Pennsylvania",1500000US420710118031,1694
"Block Group 4, Census Tract 118.03, Lancaster County, Pennsylvania",1500000US420710118034,2558
"Block Group 2, Census Tract 118.06, Lancaster County, Pennsylvania",1500000US420710118062,1623
"Block Group 3, Census Tract 118.07, Lancaster County, Pennsylvania",1500000US420710118073,1885
"Block Group 2, Census Tract 119.01, Lancaster County, Pennsylvania",1500000US420710119012,1067
"Block Group 2, Census Tract 119.03, Lancaster County, Pennsylvania",1500000US420710119032,2179
"Block Group 1, Census Tract 121.06, Lancaster County, Pennsylvania",1500000US420710121061,896
"Block Group 4, Census Tract 121.06, Lancaster County, Pennsylvania",1500000US420710121064,1253
"Block Group 3, Census Tract 121.07, Lancaster County, Pennsylvania",1500000US420710121073,1396
"Block Group 2, Census Tract 122, Lancaster County, Pennsylvania",1500000US420710122002,1232
"Block Group 1, Census Tract 123.01, Lancaster County, Pennsylvania",1500000US420710123011,1050
"Block Group 1, Census Tract 123.02, Lancaster County, Pennsylvania",1500000US420710123021,1094
"Block Group 1, Census Tract 124.02, Lancaster County, Pennsylvania",1500000US420710124021,749
"Block Group 4, Census Tract 124.02, Lancaster County, Pennsylvania",1500000US420710124024,1004
"Block Group 3, Census Tract 124.03, Lancaster County, Pennsylvania",1500000US420710124033,1888
"Block Group 3, Census Tract 124.04, Lancaster County, Pennsylvania",1500000US420710124043,1240
"Block Group 1, Census Tract 33, Philadelphia County, Pennsylvania",1500000US421010033001,1776
"Block Group 4, Census Tract 33, Philadelphia County, Pennsylvania",1500000US421010033004,1169
"Block Group 1, Census Tract 36, Philadelphia County, Pennsylvania",1500000US421010036001,1899
"Block Group 4, Census Tract 36, Philadelphia County, Pennsylvania",1500000US421010036004,1340
"Block Group 3, Census Tract 37.01, Philadelphia County, Pennsylvania",1500000US421010037013,1177
"Block Group 1, Census Tract 37.02, Philadelphia County, Pennsylvania",1500000US421010037021,1558
"Block Group 1, Census Tract 38, Philadelphia County, Pennsylvania",1500000US421010038001,967
"Block Group 5, Census Tract 38, Philadelphia County, Pennsylvania",1500000US421010038005,1000
"Block Group 3, Census Tract 39.01, Philadelphia County, Pennsylvania",1500000US421010039013,1854
"Block Group 2, Census Tract 39.02, Philadelphia County, Pennsylvania",1500000US421010039022,2523
"Block Group 2, Census Tract 40.01, Philadelphia County, Pennsylvania",1500000US421010040012,1274
"Block Group 1, Census Tract 40.02, Philadelphia County, Pennsylvania",1500000US421010040021,1384
"Block Group 4, Census Tract 42.01, Philadelphia County, Pennsylvania",1500000US421010042014,1690
"Block Group 4, Census Tract 42.02, Philadelphia County, Pennsylvania",1500000US421010042024,869
"Block Group 2, Census Tract 55, Philadelphia County, Pennsylvania",1500000US421010055002,1021
"Block Group 1, Census Tract 56, Philadelphia County, Pennsylvania",1500000US421010056001,1061
"Block Group 3, Census Tract 60, Philadelphia County, Pennsylvania",1500000US421010060003,775
"Block Group 1, Census Tract 61, Philadelphia County, Pennsylvania",1500000US421010061001,2271
"Block Group 2, Census Tract 62, Philadelphia County, Pennsylvania",1500000US421010062002,991
"Block Group 1, Census Tract 63, Philadelphia County, Pennsylvania",1500000US421010063001,686
"Block Group 4, Census Tract 63, Philadelphia County, Pennsylvania",1500000US421010063004,1469
"Block Group 3, Census Tract 64, Philadelphia County, Pennsylvania",1500000US421010064003,1974
"Block Group 3, Census Tract 65, Philadelphia County, Pennsylvania",1500000US421010065003,2010
"Block Group 3, Census Tract 66, Philadelphia County, Pennsylvania",1500000US421010066003,1484
"Block Group 3, Census Tract 67, Philadelphia County, Pennsylvania",1500000US421010067003,2942
"Block Group 2, Census Tract 70, Philadelphia County, Pennsylvania",1500000US421010070002,714
"Block Group 6, Census Tract 72, Philadelphia County, Pennsylvania",1500000US421010072006,928
"Block Group 3, Census Tract 73, Philadelphia County, Pennsylvania",1500000US421010073003,645
"Block Group 2, Census Tract 74, Philadelphia County, Pennsylvania",1500000US421010074002,720
"Block Group 5, Census Tract 74, Philadelphia County, Pennsylvania",1500000US421010074005,650
"Block Group 1, Census Tract 78, Philadelphia County, Pennsylvania",1500000US421010078001,893
"Block Group 4, Census Tract 78, Philadelphia County, Pennsylvania",1500000US421010078004,969
"Block Group 2, Census Tract 79, Philadelphia County, Pennsylvania",1500000US421010079002,1457
"Block Group 1, Census Tract 80, Philadelphia County, Pennsylvania",1500000US421010080001,1068
"Block Group 4, Census Tract 80, Philadelphia County, Pennsylvania",1500000US421010080004,1195
"Block Group 1, Census Tract 81.02, Philadelphia County, Pennsylvania",1500000US421010081021,858
"Block Group 4, Census Tract 81.02, Philadelphia County, Pennsylvania",1500000US421010081024,1852
"Block Group 3, Census Tract 82, Philadelphia County, Pennsylvania",1500000US421010082003,1104
"Block Group 6, Census Tract 82, Philadelphia County, Pennsylvania",1500000US421010082006,1370
"Block Group 2, Census Tract 238.23, York County, Pennsylvania",1500000US421330238232,877
"Block Group 2, Census Tract 238.24, York County, Pennsylvania",1500000US421330238242,1427
"Block Group 2, Census Tract 239.02, York County, Pennsylvania",1500000US421330239022,1403
"Block Group 1, Census Tract 239.04, York County, Pennsylvania",1500000US421330239041,2341
"Block Group 2, Census Tract 240.01, York County, Pennsylvania",1500000US421330240012,2490
"Block Group 1, Census Tract 240.02, York County, Pennsylvania",1500000US421330240021,2087
"Block Group 2, Census Tract 703, Allegheny County, Pennsylvania",1500000US420030703002,799
"Block Group 2, Census Tract 705, Allegheny County, Pennsylvania",1500000US420030705002,752
"Block Group 2, Census Tract 706, Allegheny County, Pennsylvania",1500000US420030706002,1196
"Block Group 1, Census Tract 709, Allegheny County, Pennsylvania",1500000US420030709001,1903
"Block Group 4, Census Tract 709, Allegheny County, Pennsylvania",1500000US420030709004,1536
"Block Group 1, Census Tract 804, Allegheny County, Pennsylvania",1500000US420030804001,990
"Block Group 2, Census Tract 806, Allegheny County, Pennsylvania",1500000US420030806002,684
